始発駅,終着駅,最長経路距離
1,2,255.3
1,3,244.5
1,4,243.2
1,5,230.8
1,6,215.4
1,7,223.0
1,8,181.0
1,9,217.3
1,10,196.8
1,11,338.3
1,12,393.6
1,13,568.8
1,14,561.5
1,15,591.2
1,16,567.1
1,17,513.3
1,18,553.8
1,19,484.4
1,20,1901.8
1,21,1895.9
1,22,1894.6
1,23,1903.3
1,24,1892.0
1,25,1897.2
1,26,1892.5
1,27,1898.5
1,28,1893.5
1,29,1895.6
1,30,1895.0
1,31,1895.4
1,32,1896.4
1,33,1901.7
1,34,1880.3
1,35,1861.1
1,36,1881.2
1,37,1886.2
1,38,1881.2
1,39,1909.7
1,40,1875.1
1,41,1895.5
1,42,1897.5
1,43,1895.8
1,44,1899.5
1,45,1896.5
1,46,1895.4
1,47,1893.8
1,48,1895.1
1,49,1898.2
1,50,1896.4
1,51,1880.1
1,52,1882.8
1,55,1922.5
1,56,1910.7
1,57,1863.2
1,58,1890.1
1,59,1907.0
1,60,1894.2
1,61,1888.1
1,62,1897.4
1,63,1908.7
1,64,1891.3
1,65,1921.8
1,66,1856.9
1,67,1892.3
1,68,1889.1
1,69,1930.3
1,70,1908.7
1,71,1892.6
1,72,1892.6
1,73,1898.9
1,76,1888.5
1,77,1889.0
1,78,1911.7
1,79,1887.9
1,80,1871.4
1,81,1984.3
1,82,1936.2
1,83,1929.7
1,84,1938.4
1,85,1931.3
1,86,1994.0
1,87,2036.7
1,88,1931.4
1,89,1950.7
1,90,1915.2
1,91,1918.5
1,92,1978.4
1,93,1962.5
1,94,1967.5
1,95,2702.4
1,96,2714.3
1,97,2656.9
1,98,2693.6
1,99,2745.1
1,100,2739.6
1,101,2828.1
1,102,2815.8
1,103,2885.3
1,104,2747.5
1,105,2774.8
1,106,2771.2
1,107,2775.3
1,108,2771.9
1,109,2773.2
1,110,2776.5
1,111,2761.4
1,112,2763.1
1,113,2741.6
1,114,2752.7
1,115,2715.2
1,116,2718.5
1,117,2915.9
1,118,2770.9
